arm,ngram,term,delta,z,freq_in_arm
T1_MI_CHANGE,1,negative,1.5525645049778056,20.70630397062818,424.0
T2_MI_AMBIVALENCE,1,number,1.654019515505702,46.62975965577355,2130.0
T2_MI_AMBIVALENCE,1,goals,1.8274977827571457,42.47365746159705,1622.0
T2_MI_AMBIVALENCE,1,miss,1.7275342069258528,40.90680018695548,1577.0
T2_MI_AMBIVALENCE,1,easy,2.152554408428072,37.97673829000682,1176.0
T2_MI_AMBIVALENCE,1,connected,1.9617463582410632,36.885121660396514,1165.0
T2_MI_AMBIVALENCE,1,enjoy,2.187642714585783,35.559346692111035,1025.0
T2_MI_AMBIVALENCE,1,connection,1.947218849086738,33.20026434610471,949.0
T2_MI_AMBIVALENCE,1,values,1.915787321087775,30.53823317911714,812.0
T2_MI_AMBIVALENCE,1,mind,1.281960580386352,30.19028090428619,1199.0
T2_MI_AMBIVALENCE,1,helpful,3.4737597258556576,29.525080607782694,826.0
T2_MI_AMBIVALENCE,1,lower,1.1345317128033194,28.85570143445911,1295.0
T2_MI_AMBIVALENCE,1,hand,5.394654635892143,27.535361254750693,1872.0
T2_MI_AMBIVALENCE,1,while,0.9811493475677118,26.4903147369893,1355.0
T2_MI_AMBIVALENCE,1,stuck,2.3041150845301175,26.186582386296244,548.0
T2_MI_AMBIVALENCE,1,adjust,2.7510337421387856,26.113048828022205,547.0
T2_MI_AMBIVALENCE,1,zero,1.015902234473444,25.567902948999407,1197.0
T2_MI_AMBIVALENCE,1,talking,2.061381723196863,25.49502587517632,542.0
T2_MI_AMBIVALENCE,1,pull,1.0803476313416116,25.10702749042826,1053.0
T2_MI_AMBIVALENCE,1,stands,3.5249537684256147,24.993129841825713,603.0
T2_MI_AMBIVALENCE,1,higher,4.59329344631564,24.88597978434612,967.0
T2_MI_AMBIVALENCE,1,hard,1.4971152009544273,24.76691220762313,669.0
T2_MI_AMBIVALENCE,1,content,1.622759712020935,24.38779609047892,596.0
T2_MI_AMBIVALENCE,1,downsides,1.2056345017753165,24.35694791369628,848.0
T2_MI_AMBIVALENCE,1,affects,2.502488924203231,24.265728110856763,466.0
T2_MI_AMBIVALENCE,1,consider,1.8453264728310828,24.26171438967612,527.0
T2_MI_AMBIVALENCE,1,add,1.1766898067187943,24.259831325094822,870.0
T2_MI_AMBIVALENCE,1,terms,2.735000092411589,24.17041951016398,468.0
T2_MI_AMBIVALENCE,1,confirming,2.9204367878029664,23.68298877677652,461.0
T2_MI_AMBIVALENCE,1,informed,2.360087155890225,23.38355719716341,435.0
T2_MI_AMBIVALENCE,1,thanks,1.6582685089804643,22.84056469142825,512.0
T2_MI_AMBIVALENCE,1,side,2.8277832863604857,22.767299858326343,420.0
T2_MI_AMBIVALENCE,1,value,1.479207670613306,22.48415564363413,559.0
T2_MI_AMBIVALENCE,1,matter,1.1257897698942738,22.459814624833747,794.0
T2_MI_AMBIVALENCE,1,staying,1.2067272616365852,22.407853995229317,717.0
T2_MI_AMBIVALENCE,1,decision,3.374555962859718,22.151769581516817,451.0
T2_MI_AMBIVALENCE,1,life,0.7403731942786482,22.140280797217564,1497.0
T2_MI_AMBIVALENCE,1,imagine,1.1588659550092633,21.51036186160948,699.0
T2_MI_AMBIVALENCE,1,stay,0.957798672599834,21.358106325630068,915.0
T2_MI_AMBIVALENCE,1,especially,0.6346623768641866,21.185332315594597,1789.0
T2_MI_AMBIVALENCE,1,decided,0.940950960064434,21.040224637581783,913.0
T2_MI_AMBIVALENCE,1,updates,1.9360305981473311,20.163256821278527,352.0
T2_MI_AMBIVALENCE,1,hope,4.313374070817929,20.152801933280468,550.0
T2_MI_AMBIVALENCE,1,talk,1.0106623723042727,20.098102653216824,746.0
T2_MI_AMBIVALENCE,1,reduced,3.3548491361349875,20.0398476021086,367.0
T2_MI_AMBIVALENCE,1,less,0.5988445746294477,19.829439699055037,1737.0
